year,total_consumption_mtoe,renewable_gen_ktoe,renewable_gen_mtoe,yoy_pct_change,renewable_pct_of_consumption
2005,12.58,370.4324,0.370432,30.3524,2.94
2006,12.93,428.3029,0.428303,15.6224,3.31
2007,13.11,469.238,0.469238,9.5575,3.58
2008,13.18,544.1116,0.544112,15.9564,4.13
2009,11.95,618.0959,0.618096,13.5973,5.17
2010,11.870000000000001,597.4576,0.597458,-3.339,5.03
2011,11.08,737.8275,0.737828,23.4945,6.66
2012,10.71,744.8932,0.744893,0.9576,6.96
2013,10.899999999999999,775.3859,0.775386,4.0936,7.11
2014,10.86,881.2439,0.881244,13.6523,8.11
2015,11.4,1021.8493,1.021849,15.9553,8.96
2016,11.79,1013.8439,1.013844,-0.7834,8.6
2017,11.88,1184.6153,1.184615,16.844,9.97
2018,12.42,1340.3841,1.340384,13.1493,10.79
2019,12.41,1481.9779,1.481978,10.5637,11.94
2020,11.219999999999999,1638.201,1.638201,10.5415,14.6
2021,11.48,1507.1722,1.507172,-7.9983,13.13
2022,12.0,1691.4517,1.691452,12.2268,14.1
2023,12.08,1750.8842,1.750884,3.5137,14.49
2024,12.35,1803.2525,1.803253,2.991,14.6
