year,renewable_gen_ktoe,yoy_change_ktoe,yoy_pct_change,renewable_gen_mtoe
2005,370.4324,86.2547,30.3524,0.370432
2006,428.3029,57.8706,15.6224,0.428303
2007,469.238,40.9351,9.5575,0.469238
2008,544.1116,74.8736,15.9564,0.544112
2009,618.0959,73.9843,13.5973,0.618096
2010,597.4576,-20.6383,-3.339,0.597458
2011,737.8275,140.3699,23.4945,0.737828
2012,744.8932,7.0657,0.9576,0.744893
2013,775.3859,30.4927,4.0936,0.775386
2014,881.2439,105.8579,13.6523,0.881244
2015,1021.8493,140.6054,15.9553,1.021849
2016,1013.8439,-8.0054,-0.7834,1.013844
2017,1184.6153,170.7714,16.844,1.184615
2018,1340.3841,155.7688,13.1493,1.340384
2019,1481.9779,141.5938,10.5637,1.481978
2020,1638.201,156.2231,10.5415,1.638201
2021,1507.1722,-131.0289,-7.9983,1.507172
2022,1691.4517,184.2796,12.2268,1.691452
2023,1750.8842,59.4325,3.5137,1.750884
2024,1803.2525,52.3683,2.991,1.803253
